nyerang,serang
nipu,tipu
ktipu,tipu
jentelmen,berani
buangbuang,buang
tsangka,tersangka
kurng,kurang
ista,nista
less,kurang
koar,teriak
paranoid,takut
problem,masalah
tahi,kotoran
tirani,tiran
tilep,tilap
happy,bahagia
penertiban,tertib
uasai,kuasa
mnolak,tolak
trending,trend
taik,tahi
wkwkkw,tertawa
wkwk,tertawa
ahokncc,ahok
istaa,nista
aku,saya
benarjujur,jujur
mgkin,mungkin
onlineotak,otakdaring
oflen,offline
cancel,batal
drpd,daripada
tgs,tugas
workfromhome,bekerjadarirumah
atuser,
and,dan
dha,dia
kira2,kirakira
cpt2,cepatcepat
gmn,gimana
tmn,teman
tdr,tidur
bgtt,banget
msi,masih
mtkk,matematika
mtkkk,matematika
ortuku,orangtuaku
mrk,mereka
ytb,youtube
tiba2,tiba-tiba
begimanaaa,bagaimana
laptoo,laptop
ngapsen,mengabsen
dr,dari
bisa2,bisa-bisa
menyulidkan,menyulitkan
dadi,jadi
terossss,terus
pembeljrn,pembelajaran
tny,tanya
sblm,sebelum
oplen,offline
slrh,seluruh
ketum,ketuaumum
adkel,adikkelas
mntp,mantap
rip,mati
dahlah,sudahlah
ckuplah,cukuplah
kulon,kuliahonline
pulang2,pulang-pulang
cororong,corona
notip,notifikasi
ambis,ambisi
onlennnn,online
sm,sama
matlis,matilistrik
tementemen,teman-teman
udeh,udah
jahat2,jahatjahat
kulyah,kuliah
school,sekolah
nyusahke,nyusahkan
irit2,iritirit
mudeng,ngerti
paham2,pahampaham
jingan,bajingan
anj,anjing
mless,malas
class,kelas
sering2,seringsering
skul,sekolah
kelar2,kelarkelar
guru2,guru-guru
berbeda2,berbeda-beda
pinter2,pinter-pinter
tipsen,titipabsen
gblggg,goblok
gblg,goblok
anak2,anak-anak
slm,selama
anjg,anjing
lama2,lama-lama
malesbanget,sangatmalas
mles,malas
males,malas
teman2,teman-teman
ajggg,anjing
tida,tidak
bener2,benerbener
palingburung,palingburuk
kelen,kalian
stgh,setengah
oengen,mau
tyda,tidak
yh,ya
ako,aku
lebi,lebih
onlineee,online
banya,banyak
ibuk,ibu
ppl,
dom,domisili
sekaliii,sekali
sbg,sebagai
org,orang
gblk,bodoh
sokusinya,solusinya
anjim,anjing
flishhh,plis
online,onlen
us,ujiansekolah
utbk,ujiantulisberbasiskomputer
ngalong,begadang
please,tolong
dbuat,dibuat
gmna,gimana
masup,masuk
nngys,nangis
goblo,bodoh
mnding,mending
gwa,aku
tkt,takut
we,aku
kerad,gila
rl,reallife
lnjut,lanjut
nder,brother
skr,sekarang
sekul,sekolah
gtu,gitu
gc,groupchat
mhs,mahasiswa
udh,udah
bgst,bangsat
classes,kelas
conference,konferensi
kadis,kepaladinas
kabid,kepalabidang
entah,tidaktahu
hbis,habis
lupaa,lupa
tl,timeline
prefer,lebihmemilih
gakuat,tidakkuat
ampunn,ampun
kampus2,kampus-kampus
dpr,dewanperwakilanrakyat
rapotan,raport
i,saya
mean,maksud
blas,samasekali
kasi,kasih
seneng,senang
flis,tolong
gakuad,tidakkuat
bk,besok
bbrp,beberapa
hate,benci
gabut,bosan
nungguin,menunggu
nyelesain,menyelesaikan
pengen,mau
skolah,sekolah
wth,apaapaan
satu2nya,satu-satunya
ngelawan,melawan
ena,enak
statistics,statistik
manusya,manusia
kwad,kuat
cumanan,hanya
